,H3K79me1,H3K79me3,H4K5ac,H2BK12ac,H4K91ac,H3K9me2,H4K16ac,H3K4me1,H3K27me1,H3R2me1,H3K27me2,H3K79me2,H3K4ac,H3K23ac,H3K27ac,H3K4me3,H3K36me3,H2AK9ac,H3K36ac,H3K9me1,H3K9ac,H3R2me2,H4K20me1,H3K27me3,H3K14ac,H2BK5me1,H4K8ac,H2BK5ac,H4K12ac,H2BK20ac,H3K18ac,H3K9me3,H2AK5ac,H3K4me2,H3K36me1,H4K20me3,H2BK120ac
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2AZ,0.06567701618602495,0.10773020827933433,0.3000060789852146,0.2067582853566794,0.2383945620784278,0.0832776130980104,0.12785747911305378,0.18947236513314358,0.10198004727801901,0.09923346191027882,0.08105952224598845,0.04322833094279943,0.22559708081345242,0.07214732917939504,0.4112358698159486,0.5667836173502732,0.18531984184981276,0.10102193885754396,0.2919914492274671,0.13869551459833396,0.4039745499776579,0.0906802933653772,0.3446118462396015,0.07384053847673311,0.0565954336561143,0.30666994335768827,0.3832784876811868,0.2778707248235026,0.25614529561483934,0.25781381137822557,0.4085470215143481,0.09273301884235874,0.08151539307478917,0.2217029592367421,0.07121787281180225,0.10499156390174402,0.31813017178783376
H2A.H4R3me2_H2BK5me1,0.110670828327466,0.12957271815260185,0.2016620882380753,0.1927538447253827,0.22723447171691014,0.1121087635760567,0.11448784160135084,0.3985345336074779,0.2218014265373025,0.1966386754835696,0.10891925218632181,0.0623840920601797,0.18392093288876232,0.09011658949884449,0.28916975360969666,0.43644695074893036,0.21675420359221498,0.09551931642885059,0.23085542164541195,0.20844561172635778,0.27432546356517307,0.14069427595056538,0.6982500899532429,0.0923334292105995,0.07929787585166181,,0.1896611371798116,0.21001771738373343,0.22133331527907352,0.217951523088864,0.2611901191938397,0.11137618540749905,0.10506628587475042,0.2119987176526248,0.12451338925185773,0.14419702502961762,0.24368280249467134
